Number of ticks for a small gelatinous cube to dissolve the block (pepsin, acid).

Block Dissolve Time
-------------------
Block[1] 石头: never, never
Block[2] 草方块: never, never
Block[3] 泥土: never, never
Block[4] 圆石: never, never
Block[5][0] 橡木木板: never, never
Block[5][1] 云杉木板: never, never
Block[5][2] 桦木木板: never, never
Block[5][3] 丛林木板: never, never
Block[6][0] 橡树树苗: never, instant
Block[6][1] 云杉树苗: never, instant
Block[6][2] 桦木树苗: never, instant
Block[6][3] 丛林树苗: never, instant
Block[7] 基岩: never, never
Block[8] 水 (moving): never, never
Block[9] 水 (still): never, never
Block[10] 熔岩 (moving): never, never
Block[11] 熔岩 (still): never, never
Block[12] 沙子: never, never
Block[13][0] 沙砾: never, never
Block[13][2] 下界砂砾: never, never
Block[14][0] 金矿石: never, never
Block[14][2] 金矿石: never, never
Block[15] 铁矿石: never, never
Block[16] 煤矿石: never, never
Block[17][0] 橡木原木 (log): never, never
Block[17][1] 云杉原木 (log): never, never
Block[17][2] 白桦原木 (log): never, never
Block[17][3] 丛林原木 (log): never, never
Block[18][0] 橡树树叶: never, instant
Block[18][1] 云杉树叶: never, instant
Block[18][2] 白桦树叶: never, instant
Block[18][3] 丛林树叶: never, instant
Block[19] 海绵: never, never
Block[20] 玻璃: never, never
Block[21] 青金石矿石: never, never
Block[22] 青金石块: never, never
Block[23] 发射器: never, never
Block[24][0] 沙岩: never, never
Block[24][1] 錾制沙岩: never, never
Block[24][2] 平滑沙岩: never, never
Block[24][3] 神圣沙岩: never, never
Block[25] 音符盒: never, never
Block[26] 床: 400, 400
Block[27] 动力铁轨: never, 400
Block[28] 探测铁轨: never, 400
Block[29] 粘性活塞: never, 400
Block[30] 蜘蛛网: instant, instant
Block[31][1] 草 (tall): never, instant
Block[31][2] 蕨 (tall): never, instant
Block[32][0] 枯死的灌木: never, instant
Block[32][1] 凋零玫瑰: never, instant
Block[33] 活塞: never, 400
Block[34] 伸出的活塞臂 (extension): never, 400
Block[35][0] 羊毛: 400, instant
Block[35][1] 橙色羊毛: 400, instant
Block[35][2] 品红色羊毛: 400, instant
Block[35][3] 淡蓝色羊毛: 400, instant
Block[35][4] 黄色羊毛: 400, instant
Block[35][5] 黄绿色羊毛: 400, instant
Block[35][6] 粉红色羊毛: 400, instant
Block[35][7] 灰色羊毛: 400, instant
Block[35][8] 淡灰色羊毛: 400, instant
Block[35][9] 青色羊毛: 400, instant
Block[35][10] 紫色羊毛: 400, instant
Block[35][11] 蓝色羊毛: 400, instant
Block[35][12] 棕色羊毛: 400, instant
Block[35][13] 绿色羊毛: 400, instant
Block[35][14] 红色羊毛: 400, instant
Block[35][15] 黑色羊毛: 400, instant
Block[36] 活塞移动 (moving): never, never
Block[37] 蒲公英: never, instant
Block[38][0] 玫瑰: never, instant
Block[38][1] 兰花: never, instant
Block[38][2] 绒葱球: never, instant
Block[38][5] 郁金香: never, instant
Block[38][7] 大丽花: never, instant
Block[38][8] 雏菊: never, instant
Block[39] 蘑菇 (brown, small): never, instant
Block[40] 蘑菇 (red, small): never, instant
Block[41] 金块: never, never
Block[42] 铁块: never, 400
Block[43][0] 石台阶 (double): never, never
Block[43][1] 沙岩台阶 (double): never, never
Block[43][3] 圆石台阶 (double): never, never
Block[43][4] 砖台阶 (double): never, never
Block[43][5] 石砖台阶 (double): never, never
Block[43][6] 地狱砖台阶 (double): never, never
Block[43][7] 石英台阶 (double): never, never
Block[44][0] 石台阶 (single): never, never
Block[44][1] 沙岩台阶 (single): never, never
Block[44][3] 圆石台阶 (single): never, never
Block[44][4] 砖台阶 (single): never, never
Block[44][5] 石砖台阶 (single): never, never
Block[44][6] 地狱砖台阶 (single): never, never
Block[44][7] 石英台阶 (single): never, never
Block[45] 砖块: never, never
Block[46] TNT: never, never
Block[47] 书架: never, never
Block[48] 苔石: never, never
Block[49] 黑曜石: never, never
Block[50] 火把: never, instant
Block[51] 火: never, never
Block[52] 刷怪箱: never, never
Block[53] 橡木楼梯: never, never
Block[54] 箱子: never, 400
Block[55] 红石粉: never, never
Block[56] 钻石矿石: never, never
Block[57] 钻石块: never, never
Block[58][0] 燧石工具台: never, never
Block[58][1] 燧石工具台: never, never
