Tools have their own specific decay rates vs blocks and entities. See tool decay rate files for more information.

Item Durability
---------------
Item[145] ÌúÕè: 396800
Item[229] Í­Õè: 198400
Item[230] ÒøÕè: 198400
Item[231] ½ğÕè: 198400
Item[232] ÃØÒøÕè: 3174400
Item[233] °¬µÂÂüÕè: 12697600
Item[254] Ô¶¹Å½ğÊôÕè: 793600
Item[256] ÌúÇÂ (average): 3200
Item[257] Ìú¸ä (average): 9600
Item[258] Ìú¸« (average): 9600
Item[259] ´ò»ğÊ¯: 16
Item[261] ¹­ (average): 32
Item[267] Ìú½£ (average): 6400
Item[269] Ä¾ÇÂ (average): 200
Item[283] ½ğ½£ (average): 3200
Item[284] ½ğÇÂ (average): 1600
Item[285] ½ğ¸ä (average): 4800
Item[286] ½ğ¸« (average): 4800
Item[292] Ìú³ú (average): 6400
Item[294] ½ğ³ú (average): 3200
Item[298] Æ¤¸ïÃ±×Ó (average): 10
Item[299] Æ¤¸ïÍâÌ× (average): 16
Item[300] Æ¤¸ï¿ã×Ó (average): 14
Item[301] Æ¤¸ïÑ¥×Ó (average): 8
Item[302] ÌúËøÁ´Í·¿ø (average): 40
Item[303] ÌúËøÁ´ĞØ¼× (average): 64
Item[304] ÌúËøÁ´»¤ÍÈ (average): 56
Item[305] ÌúËøÁ´Ñ¥×Ó (average): 32
Item[306] ÌúÍ·¿ø (average): 80
Item[307] ÌúĞØ¼× (average): 128
Item[308] Ìú»¤ÍÈ (average): 112
Item[309] ÌúÑ¥×Ó (average): 64
Item[314] ½ğÍ·¿ø (average): 40
Item[315] ½ğĞØ¼× (average): 64
Item[316] ½ğ»¤ÍÈ (average): 56
Item[317] »Æ½ğÑ¥×Ó (average): 32
Item[346] µöÓã¸Í (iron): 16
Item[359] Ìú¼ôµ¶ (average): 6400
Item[398] ÂÜ²·µö¸Í (iron): 25
Item[967] Í­¸ä (average): 4800
Item[968] Òø¸ä (average): 4800
Item[969] ÃØÒø¸ä (average): 76800
Item[970] °¬µÂÂü¸ä (average): 307200
Item[971] ĞâÌú¸ä (poor): 3600
Item[972] ìİÊ¯ÇÂ (average): 400
Item[973] Í­ÇÂ (average): 1600
Item[974] ÒøÇÂ (average): 1600
Item[975] ÃØÒøÇÂ (average): 25600
Item[976] °¬µÂÂüÇÂ (average): 102400
Item[977] ĞâÌúÇÂ (poor): 1200
Item[978] ìİÊ¯ÊÖ¸« (average): 400
Item[979] ìİÊ¯¸« (average): 1200
Item[980] Í­¸« (average): 4800
Item[981] Òø¸« (average): 4800
Item[982] ÃØÒø¸« (average): 76800
Item[983] °¬µÂÂü¸« (average): 307200
Item[984] ĞâÌú¸« (poor): 3600
Item[985] Í­³ú (average): 3200
Item[986] Òø³ú (average): 3200
Item[987] ÃØÒø³ú (average): 51200
Item[988] °¬µÂÂü³ú (average): 204800
Item[989] ĞâÌú³ú (poor): 2400
Item[990] Í­Õ½´¸ (average): 8000
Item[991] ÒøÕ½´¸ (average): 8000
Item[992] ½ğÕ½´¸ (average): 8000
Item[993] ÌúÕ½´¸ (average): 16000
Item[994] ÃØÒøÕ½´¸ (average): 128000
Item[995] °¬µÂÂüÕ½´¸ (average): 512000
Item[996] ĞâÌúÕ½´¸ (poor): 6000
Item[997] Í­Ñ¼×ì³ú (average): 6400
Item[998] ÒøÑ¼×ì³ú (average): 6400
Item[999] ½ğÑ¼×ì³ú (average): 6400
Item[1000] ÌúÑ¼×ì³ú (average): 12800
Item[1001] ÃØÒøÑ¼×ì³ú (average): 102400
Item[1002] °¬µÂÂüÑ¼×ì³ú (average): 409600
Item[1003] ĞâÌúÑ¼×ì³ú (poor): 4800
Item[1004] Í­Õ½¸« (average): 6400
Item[1005] ÒøÕ½¸« (average): 6400
Item[1006] ½ğÕ½¸« (average): 6400
Item[1007] ÌúÕ½¸« (average): 12800
Item[1008] ÃØÒøÕ½¸« (average): 102400
Item[1009] °¬µÂÂüÕ½¸« (average): 409600
Item[1010] ĞâÌúÕ½¸« (poor): 4800
Item[1011] Í­Á­µ¶ (average): 3200
Item[1012] ÒøÁ­µ¶ (average): 3200
Item[1013] ½ğÁ­µ¶ (average): 3200
Item[1014] ÌúÁ­µ¶ (average): 6400
Item[1015] ÃØÒøÁ­µ¶ (average): 51200
Item[1016] °¬µÂÂüÁ­µ¶ (average): 204800
Item[1017] ĞâÌúÁ­µ¶ (poor): 2400
Item[1018] Í­¼ôµ¶ (average): 3200
Item[1019] Òø¼ôµ¶ (average): 3200
Item[1020] ½ğ¼ôµ¶ (average): 3200
Item[1021] ÃØÒø¼ôµ¶ (average): 51200
Item[1022] °¬µÂÂü¼ôµ¶ (average): 204800
Item[1023] ìİÊ¯Ğ¡µ¶ (average): 400
Item[1024] ¶ÌÄ¾°ô (average): 200
Item[1025] Ä¾°ô (average): 400
Item[1028] Í­½£ (average): 3200
Item[1029] Òø½£ (average): 3200
Item[1030] ÃØÒø½£ (average): 51200
Item[1031] °¬µÂÂü½£ (average): 204800
Item[1032] ĞâÌú½£ (poor): 2400
Item[1033] Í­¶Ì½£ (average): 1600
Item[1034] Òø¶Ì½£ (average): 1600
Item[1035] ½ğ¶Ì½£ (average): 1600
Item[1036] Ìú¶Ì½£ (average): 3200
Item[1037] ÃØÒø¶Ì½£ (average): 25600
Item[1038] °¬µÂÂü¶Ì½£ (average): 102400
Item[1039] ĞâÌú¶Ì½£ (poor): 1200
Item[1048] ÃØÒø¹­ (average): 128
Item[1050] Í­Ğ¡µ¶ (average): 1600
Item[1051] ÒøĞ¡µ¶ (average): 1600
Item[1052] ½ğĞ¡µ¶ (average): 1600
Item[1053] ÌúĞ¡µ¶ (average): 3200
Item[1054] ÃØÒøĞ¡µ¶ (average): 25600
Item[1055] °¬µÂÂüĞ¡µ¶ (average): 102400
Item[1056] ĞâÌúĞ¡µ¶ (poor): 1200
Item[1057] Ô¶¹Å½ğÊôĞ¡µ¶ (average): 6400
Item[1067] Í­Í·¿ø (average): 40
Item[1068] ÒøÍ·¿ø (average): 40
Item[1069] ÃØÒøÍ·¿ø (average): 640
Item[1070] °¬µÂÂüÍ·¿ø (average): 2560
Item[1071] Í­ËøÁ´Í·¿ø (average): 20
Item[1072] ÒøËøÁ´Í·¿ø (average): 20
Item[1073] ½ğËøÁ´Í·¿ø (average): 20
Item[1074] ÃØÒøËøÁ´Í·¿ø (average): 320
Item[1075] °¬µÂÂüËøÁ´Í·¿ø (average): 1280
Item[1076] ĞâÌúÍ·¿ø (poor): 30
Item[1077] ĞâÌúËøÁ´Í·¿ø (poor): 15
Item[1078] Í­ĞØ¼× (average): 64
Item[1079] ÒøĞØ¼× (average): 64
Item[1080] ÃØÒøĞØ¼× (average): 1024
Item[1081] °¬µÂÂüĞØ¼× (average): 4096
Item[1082] Í­ËøÁ´ĞØ¼× (average): 32
Item[1083] ÒøËøÁ´ĞØ¼× (average): 32
Item[1084] ½ğËøÁ´ĞØ¼× (average): 32
Item[1085] ÃØÒøËøÁ´ĞØ¼× (average): 512
Item[1086] °¬µÂÂüËøÁ´ĞØ¼× (average): 2048
